ID,Company,Role,Required_Skills,Qualification_Required,Location_State,Location_City,Sector,Duration_Months,Stipend_Range,Capacity
1,Flipkart,Software Intern,"Python, Django, SQL",B.Com,Uttar Pradesh,Lucknow,IT,5,₹6k–₹37k,7
2,Times of India,Accounting Intern,"Accounting, Excel, Auditing",BA,Madhya Pradesh,Indore,Commerce,3,₹28k–₹38k,17
3,HDFC Bank,Social Work Intern,"Social Work, Community Outreach, Counselling",BBA,Maharashtra,Pune,Social Work,6,₹8k–₹32k,2
4,Indian Railways,Video Editor,"Video Editing, Adobe Premiere Pro, After Effects",Diploma,Punjab,Chandigarh,Design,4,₹16k–₹38k,4
5,OYO Rooms,Social Work Intern,"Social Work, Community Outreach, Counselling",B.Com,Bihar,Patna,Social Work,2,₹12k–₹40k,13
6,Teach For India,Social Work Intern,"Social Work, Community Outreach, Counselling",BA,Punjab,Chandigarh,Social Work,4,₹27k–₹43k,19
7,State Bank of India,Teaching Intern,"Teaching, Training, Counselling",Medical,Madhya Pradesh,Indore,Education,2,₹36k–₹50k,1
8,Akshaya Patra Foundation,Social Work Intern,"Social Work, Community Outreach, Counselling",BA,Delhi,New Delhi,Social Work,1,₹16k–₹28k,15
9,EY India,Teaching Intern,"Teaching, Training, Counselling",BA,Delhi,New Delhi,Education,2,₹14k–₹29k,9
10,Paytm,Video Editor,"Video Editing, Adobe Premiere Pro, After Effects",M.Com,Delhi,New Delhi,Design,6,₹35k–₹29k,9
11,Tech Mahindra,Business Development Intern,"Sales, Communication, Strategy",Law,Delhi,New Delhi,Marketing,2,₹25k–₹21k,8
12,HDFC Bank,Copywriter,"Copywriting, Creativity, Market Research",MBA,Odisha,Bhubaneswar,Media,2,₹23k–₹22k,14
13,OYO Rooms,Accounting Intern,"Accounting, Excel, Auditing",B.Tech,Punjab,Chandigarh,Commerce,3,₹23k–₹26k,19
14,OYO Rooms,Data Analyst Intern,"SQL, Excel, Data Analysis",M.Com,Madhya Pradesh,Indore,IT,6,₹37k–₹38k,18
15,ISRO,Copywriter,"Copywriting, Creativity, Market Research",B.Com,Assam,Guwahati,Media,3,₹17k–₹21k,8
16,Infosys,Data Analyst Intern,"SQL, Excel, Data Analysis",BBA,Maharashtra,Pune,IT,5,₹41k–₹37k,17
17,HDFC Bank,Finance Analyst Intern,"Financial Analysis, Excel, Business Strategy",M.Com,Rajasthan,Jaipur,Finance,6,₹18k–₹26k,18
18,Deloitte India,Healthcare Assistant,"Nursing, Public Health, Lab Analysis",BA,West Bengal,Kolkata,Healthcare,4,₹14k–₹41k,19
19,ISRO,Healthcare Assistant,"Nursing, Public Health, Lab Analysis",Medical,Punjab,Chandigarh,Healthcare,5,₹21k–₹47k,5
20,Smile Foundation,UI/UX Intern,"UI/UX, Wireframing, Figma",BBA,Odisha,Bhubaneswar,Design,3,₹30k–₹48k,4
21,KPMG,UI/UX Intern,"UI/UX, Wireframing, Figma",Law,Maharashtra,Pune,Design,3,₹36k–₹39k,13
22,PwC India,Software Intern,"Python, Django, SQL",B.Sc,Assam,Guwahati,IT,4,₹12k–₹25k,1
23,Ministry of Health,Policy Research Intern,"Policy Analysis, Research, Report Writing",BA,Kerala,Kochi,Government,4,₹26k–₹25k,3
24,KPMG,Software Intern,"Python, Django, SQL",B.Com,Kerala,Kochi,IT,2,₹28k–₹49k,5
25,Reliance Industries,Copywriter,"Copywriting, Creativity, Market Research",Diploma,Bihar,Patna,Media,3,₹40k–₹41k,2
26,Times of India,Business Development Intern,"Sales, Communication, Strategy",M.Com,Maharashtra,Mumbai,Marketing,6,₹30k–₹23k,15
27,OYO Rooms,Teaching Intern,"Teaching, Training, Counselling",B.Tech,Rajasthan,Jaipur,Education,3,₹16k–₹27k,19
28,Indian Railways,Healthcare Assistant,"Nursing, Public Health, Lab Analysis",Medical,Uttar Pradesh,Lucknow,Healthcare,6,₹25k–₹36k,20
29,ISRO,Social Work Intern,"Social Work, Community Outreach, Counselling",Diploma,Bihar,Patna,Social Work,2,₹35k–₹49k,18
30,Unacademy,HR Intern,"Recruitment, Communication, Excel",B.Com,Karnataka,Bangalore,HR,4,₹42k–₹20k,14
31,KPMG,Data Analyst Intern,"SQL, Excel, Data Analysis",B.Tech,Punjab,Chandigarh,IT,4,₹40k–₹50k,3
